x	rho	u	p	e	rho_E	u_E	p_E	e_E
0.57625	1	0.5	1	2.5	1	0.5	1	2.5
0.57875	1	0.5	1	2.5	1	0.5	1	2.5
0.58125	1	0.5	1	2.5	1	0.5	1	2.5
0.58375	1	0.5	1	2.5	1	0.5	1	2.5
0.58625	1	0.5	1	2.5	1	0.5	1	2.5
0.58875	1	0.5	1	2.5	1	0.5	1	2.5
0.59125	1	0.5	1	2.5	1	0.5	1	2.5
0.59375	1	0.5	1	2.5	1	0.5	1	2.5
0.59625	1	0.5	1	2.5	1	0.5	1	2.5
0.59875	1	0.5	1	2.5	1	0.5	1	2.5
0.60125	1	0.5	1	2.5	1	0.5	1	2.5
0.60375	1	0.5	1	2.5	1	0.5	1	2.5
0.60625	1	0.5	1	2.5	1	0.5	1	2.5
0.60875	1	0.5	1	2.5	1	0.5	1	2.5
0.61125	1	0.5	1	2.5	1	0.5	1	2.5
0.61375	1	0.5	1	2.5	1	0.5	1	2.5
0.61625	1	0.5	1	2.5	1	0.5	1	2.5
0.61875	1	0.5	1	2.5	1	0.5	1	2.5
0.62125	1	0.5	1	2.5	1	0.5	1	2.5
0.62375	1	0.5	1	2.5	1	0.5	1	2.5
0.62625	1	0.5	1	2.5	1	0.5	1	2.5
0.62875	1	0.5	1	2.5	1	0.5	1	2.5
0.63125	1	0.5	1	2.5	1	0.5	1	2.5
0.63375	1	0.5	1	2.5	1	0.5	1	2.5
0.63625	1	0.5	1	2.5	1	0.5	1	2.5
0.63875	1	0.5	1	2.5	1	0.5	1	2.5
0.64125	1	0.5	1	2.5	1	0.5	1	2.5
0.64375	1	0.5	1	2.5	1	0.5	1	2.5
0.64625	1	0.5	1	2.5	1	0.5	1	2.5
0.64875	1	0.5	1	2.5	1	0.5	1	2.5
0.65125	1	0.5	1	2.5	1	0.5	1	2.5
0.65375	1	0.5	1	2.5	1	0.5	1	2.5
0.65625	1	0.5	1	2.5	1	0.5	1	2.5
0.65875	1	0.5	1	2.5	1	0.5	1	2.5
0.66125	1	0.5	1	2.5	1	0.5	1	2.5
0.66375	1	0.5	1	2.5	1	0.5	1	2.5
0.66625	1	0.5	1	2.5	1	0.5	1	2.5
0.66875	1	0.5	1	2.5	1	0.5	1	2.5
